# commune	poids (population INSEE 2025)	metadata
Le Blanc-Mesnil	58257	{"cp":"93150"}
Maisons-Alfort	58068	{"cp":"94700"}
Lorient	57846	{"cp":"56100"}
Villejuif	57753	{"cp":"94800"}
Saint-André	57150	{"cp":"97440"}
Fréjus	57082	{"cp":"83600"}
Beauvais	56677	{"cp":"60000"}
Narbonne	56395	{"cp":"11100"}
Meaux	55616	{"cp":"77100"}
Hyères	55103	{"cp":"83400"}
Bobigny	55056	{"cp":"93000"}
La Roche-sur-Yon	54952	{"cp":"85000"}
Clamart	54491	{"cp":"92140"}
Vannes	54420	{"cp":"56000"}
Chelles	54309	{"cp":"77500"}
Cholet	53936	{"cp":"49300"}
Saint-Louis	53935	{"cp":"97421"}
Épinay-sur-Seine	53489	{"cp":"93800"}
Saint-Ouen-sur-Seine	53207	{"cp":"93400"}
Saint-Quentin	52958	{"cp":"02100"}
Bondy	52905	{"cp":"93140"}
Bayonne	52749	{"cp":"64100"}
Corbeil-Essonnes	52683	{"cp":"91100"}
Cagnes-sur-Mer	52580	{"cp":"06800"}
Vaulx-en-Velin	52139	{"cp":"69120"}
Les Abymes	52118	{"cp":"97142"}
Sevran	51845	{"cp":"93270"}
Fontenay-sous-Bois	51812	{"cp":"94120"}
Sartrouville	51220	{"cp":"78500"}
Massy	50962	{"cp":"91300"}
Arles	50415	{"cp":"13280"}
Saint-Laurent-du-Maroni	50250	{"cp":"97320"}
Albi	49714	{"cp":"81000"}
Laval	49657	{"cp":"53000"}
Saint-Herblain	49537	{"cp":"44800"}
Gennevilliers	49410	{"cp":"92230"}
Suresnes	49104	{"cp":"92150"}
Saint-Priest	48822	{"cp":"69800"}
Vincennes	48798	{"cp":"94300"}
Bastia	48768	{"cp":"20600"}
Martigues	48568	{"cp":"13500"}
Les Sables-d'Olonne	48402	{"cp":"85180"}
Grasse	48323	{"cp":"06130"}
Montrouge	47657	{"cp":"92120"}
Aubagne	47342	{"cp":"13400"}
Saint-Malo	47323	{"cp":"35400"}
Évreux	47289	{"cp":"27000"}
La Courneuve	47160	{"cp":"93120"}
Blois	46813	{"cp":"41000"}
Brive-la-Gaillarde	46599	{"cp":"19100"}
Charleville-Mézières	46398	{"cp":"08000"}
Meudon	46342	{"cp":"92190"}
Carcassonne	46218	{"cp":"11000"}
Choisy-le-Roi	46129	{"cp":"94600"}
Noisy-le-Sec	46094	{"cp":"93130"}
Livry-Gargan	46028	{"cp":"93190"}
Rosny-sous-Bois	45655	{"cp":"93110"}
Talence	45225	{"cp":"33400"}
Belfort	45155	{"cp":"90000"}
Alfortville	45046	{"cp":"94140"}
Chalon-sur-Saône	45031	{"cp":"71100"}
Salon-de-Provence	44731	{"cp":"13300"}
Sète	44712	{"cp":"34200"}
Istres	44577	{"cp":"13118"}
Mantes-la-Jolie	44539	{"cp":"78200"}
Saint-Germain-en-Laye	44380	{"cp":"78112"}
Saint-Brieuc	44224	{"cp":"22000"}
Tarbes	43955	{"cp":"65000"}
Alès	43892	{"cp":"30100"}
Châlons-en-Champagne	43877	{"cp":"51000"}
Bagneux	43699	{"cp":"92220"}
Puteaux	43672	{"cp":"92800"}
Caluire-et-Cuire	43572	{"cp":"69300"}
Bron	43049	{"cp":"69500"}
Rezé	42998	{"cp":"44400"}
Valenciennes	42991	{"cp":"59300"}
Châteauroux	42968	{"cp":"36000"}
Garges-lès-Gonesse	42841	{"cp":"95140"}
Castres	42672	{"cp":"81100"}
Arras	42600	{"cp":"62000"}
Melun	42367	{"cp":"77000"}
Thionville	42163	{"cp":"57100"}
Le Cannet	41597	{"cp":"06110"}
Bourg-en-Bresse	41525	{"cp":"01000"}
Anglet	41153	{"cp":"64600"}
Angoulême	41086	{"cp":"16000"}
Boulogne-sur-Mer	40910	{"cp":"62200"}
Wattrelos	40836	{"cp":"59150"}
Gap	40500	{"cp":"05000"}
Villenave-d'Ornon	40500	{"cp":"33140"}
Montélimar	40399	{"cp":"26200"}
Compiègne	40394	{"cp":"60200"}
Stains	40359	{"cp":"93240"}
Gagny	40189	{"cp":"93220"}
Colomiers	40159	{"cp":"31770"}
Poissy	40016	{"cp":"78300"}
Draguignan	39745	{"cp":"83300"}
Douai	39648	{"cp":"59500"}
Le Lamentin	39641	{"cp":"97232"}
Bagnolet	39366	{"cp":"93170"}
Marcq-en-Barœul	39356	{"cp":"59700"}
Saint-Joseph	38807	{"cp":"97480"}
Villepinte	38725	{"cp":"93420"}
Saint-Martin-d'Hères	38454	{"cp":"38400"}
Chartres	38447	{"cp":"28000"}
Pontault-Combault	38258	{"cp":"77340"}
Joué-lès-Tours	38183	{"cp":"37300"}
Annemasse	37918	{"cp":"74100"}
Neuilly-sur-Marne	37531	{"cp":"93330"}
Franconville	37520	{"cp":"95130"}
Savigny-sur-Orge	37371	{"cp":"91600"}
Tremblay-en-France	37271	{"cp":"93290"}
Thonon-les-Bains	37027	{"cp":"74200"}
Saint-Benoît	37023	{"cp":"97437"}
La Ciotat	36987	{"cp":"13600"}
Échirolles	36849	{"cp":"38130"}
Châtillon	36777	{"cp":"92320"}
Athis-Mons	36222	{"cp":"91200"}
Six-Fours-les-Plages	36203	{"cp":"83140"}
Creil	36106	{"cp":"60100"}
Saint-Raphaël	35950	{"cp":"83530"}
Conflans-Sainte-Honorine	35926	{"cp":"78700"}
Villefranche-sur-Saône	35913	{"cp":"69400"}
Meyzieu	35882	{"cp":"69330"}
Sainte-Geneviève-des-Bois	35846	{"cp":"91700"}
Haguenau	35715	{"cp":"67500"}
Vitrolles	35532	{"cp":"13127"}
Villeneuve-Saint-Georges	35492	{"cp":"94190"}
La Possession	35245	{"cp":"97419"}
Saint-Chamond	35068	{"cp":"42400"}
Châtenay-Malabry	34898	{"cp":"92290"}
Palaiseau	34893	{"cp":"91120"}
Saint-Leu	34893	{"cp":"97416"}
Matoury	34810	{"cp":"97351"}
Auxerre	34778	{"cp":"89000"}
Roanne	34762	{"cp":"42300"}
Mâcon	34448	{"cp":"71000"}
Sainte-Marie	34344	{"cp":"97438"}
Le Perreux-sur-Marne	34213	{"cp":"94170"}
Schiltigheim	34129	{"cp":"67300"}
Les Mureaux	33977	{"cp":"78130"}
Trappes	33717	{"cp":"78190"}
Nogent-sur-Marne	33472	{"cp":"94130"}
Houilles	33449	{"cp":"78800"}
Montluçon	33342	{"cp":"03100"}
Le Port	33336	{"cp":"97420"}
Romainville	33266	{"cp":"93230"}
Marignane	33003	{"cp":"13700"}
Romans-sur-Isère	32911	{"cp":"26100"}
Nevers	32830	{"cp":"58000"}
Lens	32618	{"cp":"62300"}
Saint-Médard-en-Jalles	32538	{"cp":"33160"}
Agen	32485	{"cp":"47000"}
Pierrefitte-sur-Seine	32379	{"cp":"93380"}
Épinal	32285	{"cp":"88000"}
Koungou	32156	{"cp":"97600"}
Bezons	32017	{"cp":"95870"}
Aix-les-Bains	31874	{"cp":"73100"}
Montigny-le-Bretonneux	31777	{"cp":"78180"}
Herblay-sur-Seine	31605	{"cp":"95220"}
Cambrai	31425	{"cp":"59400"}
L'Haÿ-les-Roses	31392	{"cp":"94240"}
Plaisir	31375	{"cp":"78370"}
Pontoise	31327	{"cp":"95300"}
Châtellerault	31284	{"cp":"86100"}
Rillieux-la-Pape	31247	{"cp":"69140"}
Thiais	31097	{"cp":"94320"}
Vienne	31051	{"cp":"38200"}
Vigneux-sur-Seine	31050	{"cp":"91270"}
Viry-Châtillon	31045	{"cp":"91170"}
Saint-Laurent-du-Var	30941	{"cp":"06700"}
Le Chesnay-Rocquencourt	30924	{"cp":"78150"}
Baie-Mahault	30909	{"cp":"97122"}
Dreux	30879	{"cp":"28100"}
Bègles	30813	{"cp":"33130"}
Carpentras	30769	{"cp":"84200"}
Goussainville	30693	{"cp":"95190"}
Mont-de-Marsan	30674	{"cp":"40000"}
Villiers-sur-Marne	30669	{"cp":"94350"}
Cachan	30592	{"cp":"94230"}
Savigny-le-Temple	30510	{"cp":"77176"}
Menton	30412	{"cp":"06500"}
Villemomble	30332	{"cp":"93250"}
Malakoff	30292	{"cp":"92240"}
Liévin	30149	{"cp":"62800"}
La Garenne-Colombes	29932	{"cp":"92250"}
Ris-Orangis	29825	{"cp":"91130"}
Bois-Colombes	29765	{"cp":"92270"}
Clichy-sous-Bois	29735	{"cp":"93390"}
Décines-Charpieu	29731	{"cp":"69150"}
Saint-Cloud	29727	{"cp":"92210"}
Chatou	29649	{"cp":"78400"}
Bourgoin-Jallieu	29577	{"cp":"38300"}
Vandœuvre-lès-Nancy	29537	{"cp":"54500"}
Périgueux	29516	{"cp":"24000"}
Charenton-le-Pont	29445	{"cp":"94220"}
Tournefeuille	29439	{"cp":"31170"}
Guyancourt	29406	{"cp":"78280"}
Le Plessis-Robinson	29228	{"cp":"92350"}
Draveil	29173	{"cp":"91210"}
Agde	29103	{"cp":"34300"}
Maubeuge	29066	{"cp":"59600"}
Ermont	28987	{"cp":"95120"}
Sotteville-lès-Rouen	28965	{"cp":"76300"}
Orange	28949	{"cp":"84100"}
Villiers-le-Bel	28836	{"cp":"95400"}
Fresnes	28780	{"cp":"94260"}
Soissons	28705	{"cp":"02200"}
Yerres	28699	{"cp":"91330"}
Saint-Étienne-du-Rouvray	28508	{"cp":"76800"}
Dieppe	28358	{"cp":"76370"}
Saint-Sébastien-sur-Loire	28283	{"cp":"44230"}
Vallauris	28025	{"cp":"06220"}
Vanves	28014	{"cp":"92170"}
Limeil-Brévannes	27999	{"cp":"94450"}
Montfermeil	27980	{"cp":"93370"}
Orvault	27872	{"cp":"44700"}
Sucy-en-Brie	27622	{"cp":"94370"}
Remire-Montjoly	27274	{"cp":"97354"}
Grigny	27257	{"cp":"91350"}
Le Gosier	27184	{"cp":"97190"}
Lambersart	27121	{"cp":"59130"}
Illkirch-Graffenstaden	27118	{"cp":"67400"}
Oullins-Pierre-Bénite	27113	{"cp":"69600"}
Brétigny-sur-Orge	27106	{"cp":"91220"}
Sens	27034	{"cp":"89100"}
Taverny	27025	{"cp":"95150"}
Villeparisis	26822	{"cp":"77270"}
Rambouillet	26816	{"cp":"78120"}
Cenon	26778	{"cp":"33150"}
Sannois	26768	{"cp":"95110"}
Cormeilles-en-Parisis	26741	{"cp":"95240"}
Bussy-Saint-Georges	26571	{"cp":"77600"}
La Teste-de-Buch	26556	{"cp":"33115"}
Étampes	26529	{"cp":"91150"}
Blagnac	26466	{"cp":"31700"}
Miramas	26405	{"cp":"13140"}
Bergerac	26323	{"cp":"24100"}
Saumur	26215	{"cp":"49400"}
Lunel	26185	{"cp":"34400"}
Élancourt	26082	{"cp":"78990"}
Hénin-Beaumont	26035	{"cp":"62110"}
Vertou	26002	{"cp":"44120"}
Le Grand-Quevilly	25975	{"cp":"76120"}
Gonesse	25963	{"cp":"95500"}
Cavaillon	25923	{"cp":"84300"}
La Garde	25912	{"cp":"83130"}
Gradignan	25835	{"cp":"33170"}
Aurillac	25815	{"cp":"15000"}
Sèvremoine	25806	{"cp":"49450"}
Vichy	25789	{"cp":"03200"}
Biarritz	25764	{"cp":"64200"}
Champs-sur-Marne	25695	{"cp":"77420"}
Armentières	25581	{"cp":"59280"}
Montbéliard	25573	{"cp":"25200"}
Alençon	25555	{"cp":"61000"}
Saintes	25518	{"cp":"17100"}
Brunoy	25423	{"cp":"91800"}
Eaubonne	25373	{"cp":"95600"}
Villeneuve-la-Garenne	25371	{"cp":"92390"}
Vierzon	25348	{"cp":"18100"}
Les Ulis	25253	{"cp":"91940"}
Muret	25060	{"cp":"31600"}
Saint-Ouen-l'Aumône	25023	{"cp":"95310"}
Béthune	24992	{"cp":"62400"}
Castelnau-le-Lez	24888	{"cp":"34170"}
Fontenay-aux-Roses	24772	{"cp":"92260"}
Kourou	24612	{"cp":"97310"}
Libourne	24557	{"cp":"33500"}
Vernon	24543	{"cp":"27200"}
Orly	24482	{"cp":"94310"}
Le Kremlin-Bicêtre	24380	{"cp":"94270"}
Eysines	24374	{"cp":"33320"}
Le Bouscat	24339	{"cp":"33110"}
Sainte-Suzanne	24293	{"cp":"97441"}
Sainte-Anne	24281	{"cp":"97180"}
Petit-Bourg	24272	{"cp":"97170"}
Rodez	24207	{"cp":"12000"}
Les Pavillons-sous-Bois	24165	{"cp":"93320"}
Laon	24021	{"cp":"02000"}
La Valette-du-Var	23955	{"cp":"83160"}
Frontignan	23808	{"cp":"34110"}
Montgeron	23800	{"cp":"91230"}
Dole	23775	{"cp":"39100"}
Beaupréau-en-Mauges	23639	{"cp":"49600"}
Les Lilas	23469	{"cp":"93260"}
Lormont	23291	{"cp":"33310"}
Rochefort	23092	{"cp":"17300"}
Maisons-Laffitte	23080	{"cp":"78600"}
Saint-Dizier	23068	{"cp":"52100"}
Roissy-en-Brie	23061	{"cp":"77680"}
Couëron	23057	{"cp":"44220"}
Auch	23041	{"cp":"32000"}
Lanester	23026	{"cp":"56600"}
Loos	23013	{"cp":"59120"}
Manosque	22926	{"cp":"04100"}
Fontaine	22891	{"cp":"38600"}
Olivet	22855	{"cp":"45160"}
Dammarie-les-Lys	22845	{"cp":"77190"}
Vélizy-Villacoublay	22713	{"cp":"78140"}
Saint-Louis	22698	{"cp":"68300"}
Tassin-la-Demi-Lune	22676	{"cp":"69160"}
Le Moule	22645	{"cp":"97160"}
Sèvres	22618	{"cp":"92310"}
Montigny-lès-Cormeilles	22603	{"cp":"95370"}
Abbeville	22595	{"cp":"80100"}
Deuil-la-Barre	22510	{"cp":"95170"}
Challans	22494	{"cp":"85300"}
La Madeleine	22488	{"cp":"59110"}
Torcy	22444	{"cp":"77200"}
Gujan-Mestras	22399	{"cp":"33470"}
Gif-sur-Yvette	22352	{"cp":"91190"}
Oyonnax	22277	{"cp":"01100"}
Montereau-Fault-Yonne	22259	{"cp":"77130"}
Combs-la-Ville	22240	{"cp":"77380"}
Hérouville-Saint-Clair	22227	{"cp":"14200"}
Les Pennes-Mirabeau	22161	{"cp":"13170"}
Épernay	22001	{"cp":"51200"}
Montmorency	21870	{"cp":"95160"}
Sainte-Foy-lès-Lyon	21858	{"cp":"69110"}
Montigny-lès-Metz	21854	{"cp":"57950"}
Bruay-la-Buissière	21827	{"cp":"62700"}
Le Petit-Quevilly	21782	{"cp":"76140"}
Millau	21712	{"cp":"12100"}
Saint-Jean-de-Braye	21700	{"cp":"45800"}
Chaumont	21699	{"cp":"52000"}
Villeneuve-sur-Lot	21629	{"cp":"47300"}
Mandelieu-la-Napoule	21561	{"cp":"06210"}
Arcueil	21557	{"cp":"94110"}
Hazebrouck	21498	{"cp":"59190"}
Allauch	21490	{"cp":"13190"}
Mons-en-Barœul	21467	{"cp":"59370"}
Fleury-les-Aubrais	21438	{"cp":"45400"}
Saint-Michel-sur-Orge	21437	{"cp":"91240"}
Neuilly-Plaisance	21415	{"cp":"93360"}
Chemillé-en-Anjou	21386	{"cp":"49120"}
Nogent-sur-Oise	21382	{"cp":"60180"}
Mantes-la-Ville	21376	{"cp":"78711"}
Achères	21368	{"cp":"78260"}
Dax	21347	{"cp":"40100"}
Le Robert	21305	{"cp":"97231"}
Saint-Mandé	21195	{"cp":"94160"}
Lagny-sur-Marne	21191	{"cp":"77400"}
Gardanne	21174	{"cp":"13120"}
Forbach	21130	{"cp":"57600"}
Villeneuve-le-Roi	21129	{"cp":"94290"}
Saint-Cyr-l'École	20971	{"cp":"78210"}
Saint-Genis-Laval	20929	{"cp":"69230"}
Voiron	20891	{"cp":"38500"}
Saint-Gratien	20866	{"cp":"95210"}
Wasquehal	20836	{"cp":"59290"}
Halluin	20829	{"cp":"59250"}
Bourg-la-Reine	20810	{"cp":"92340"}
Morsang-sur-Orge	20785	{"cp":"91390"}
Croix	20778	{"cp":"59170"}
Coudekerque-Branche	20765	{"cp":"59210"}
Le Creusot	20731	{"cp":"71200"}
Ozoir-la-Ferrière	20692	{"cp":"77330"}
Givors	20654	{"cp":"69700"}
Fougères	20653	{"cp":"35300"}
Denain	20640	{"cp":"59220"}
Mitry-Mory	20627	{"cp":"77290"}
Sarreguemines	20624	{"cp":"57200"}
Longjumeau	20620	{"cp":"91160"}
Concarneau	20607	{"cp":"29900"}
Montaigu-Vendée	20605	{"cp":"85600"}
Carquefou	20510	{"cp":"44470"}
Sceaux	20488	{"cp":"92330"}
La Celle-Saint-Cloud	20476	{"cp":"78170"}
Joinville-le-Pont	20413	{"cp":"94340"}
Bouguenais	20410	{"cp":"44340"}
Lannion	20344	{"cp":"22300"}
Cugnaux	20341	{"cp":"31270"}
La Chapelle-sur-Erdre	20331	{"cp":"44240"}
Grande-Synthe	20331	{"cp":"59760"}
Chevilly-Larue	20326	{"cp":"94550"}
Lingolsheim	20266	{"cp":"67380"}
Le Plessis-Trévise	20218	{"cp":"94420"}
Bruges	20215	{"cp":"33520"}
Le Mée-sur-Seine	20207	{"cp":"77350"}
Cournon-d'Auvergne	20193	{"cp":"63800"}
Cahors	20141	{"cp":"46000"}
Mont-Saint-Aignan	20066	{"cp":"76130"}
Beaune	20032	{"cp":"21200"}
Pertuis	20012	{"cp":"84120"}
Chaville	19991	{"cp":"92370"}
L'Isle-sur-la-Sorgue	19965	{"cp":"84800"}
Plaisance-du-Touch	19944	{"cp":"31830"}
Chilly-Mazarin	19938	{"cp":"91380"}
Bressuire	19906	{"cp":"79300"}
Albertville	19812	{"cp":"73200"}
Lisieux	19807	{"cp":"14100"}
Mougins	19677	{"cp":"06250"}
Bruz	19651	{"cp":"35170"}
Bourg-lès-Valence	19581	{"cp":"26500"}
Ronchin	19437	{"cp":"59790"}
Vence	19415	{"cp":"06140"}
Saint-Lô	19373	{"cp":"50000"}
Saint-Fons	19360	{"cp":"69190"}
Moulins	19343	{"cp":"03000"}
Schœlcher	19341	{"cp":"97233"}
Saint-Dié-des-Vosges	19319	{"cp":"88100"}
Sélestat	19300	{"cp":"67600"}
Brie-Comte-Robert	19213	{"cp":"77170"}
La Crau	19179	{"cp":"83260"}
Sorgues	19117	{"cp":"84700"}
Villefontaine	19083	{"cp":"38090"}
Gentilly	19048	{"cp":"94250"}
Royan	19029	{"cp":"17200"}
Vitré	18998	{"cp":"35500"}
Macouria	18847	{"cp":"97355"}
Bonneuil-sur-Marne	18750	{"cp":"94380"}
Riom	18736	{"cp":"63200"}
Hem	18713	{"cp":"59510"}
Le Puy-en-Velay	18629	{"cp":"43000"}
Maurepas	18611	{"cp":"78310"}
Ploemeur	18591	{"cp":"56270"}
Meylan	18573	{"cp":"38240"}
Lamentin	18527	{"cp":"97129"}
Éragny	18468	{"cp":"95610"}
Cognac	18448	{"cp":"16100"}
Juvisy-sur-Orge	18424	{"cp":"91260"}
Chennevières-sur-Marne	18367	{"cp":"94430"}
Écully	18361	{"cp":"69130"}
Louviers	18350	{"cp":"27400"}
Mauges-sur-Loire	18331	{"cp":"49410"}
Carrières-sous-Poissy	18316	{"cp":"78955"}
Bagnols-sur-Cèze	18248	{"cp":"30200"}
Moissy-Cramayel	18248	{"cp":"77550"}
Romorantin-Lanthenay	18115	{"cp":"41200"}
Faches-Thumesnil	18110	{"cp":"59155"}
Fécamp	18016	{"cp":"76400"}
Soisy-sous-Montmorency	18008	{"cp":"95230"}
Bischheim	17939	{"cp":"67800"}
Ducos	17912	{"cp":"97224"}
Pornic	17910	{"cp":"44210"}
Châteauneuf-les-Martigues	17909	{"cp":"13220"}
Garches	17898	{"cp":"92380"}
Carvin	17852	{"cp":"62220"}
Pontarlier	17849	{"cp":"25300"}
Dzaoudzi	17831	{"cp":"97615"}
Hendaye	17796	{"cp":"64700"}
Lunéville	17755	{"cp":"54300"}
Floirac	17749	{"cp":"33270"}
Capesterre-Belle-Eau	17731	{"cp":"97130"}
Cesson-Sévigné	17716	{"cp":"35510"}
Segré-en-Anjou Bleu	17699	{"cp":"49500"}
Avion	17672	{"cp":"62210"}
Brignoles	17664	{"cp":"83170"}
Saint-Maximin-la-Sainte-Baume	17631	{"cp":"83470"}
Sainte-Rose	17630	{"cp":"97115"}
Limay	17626	{"cp":"78520"}
Boissy-Saint-Léger	17570	{"cp":"94470"}
Le Pontet	17551	{"cp":"84130"}
Lattes	17544	{"cp":"34970"}
Chamalières	17454	{"cp":"63400"}
Yutz	17401	{"cp":"57970"}
Bry-sur-Marne	17400	{"cp":"94360"}
Balma	17385	{"cp":"31130"}
Osny	17277	{"cp":"95520"}
Sanary-sur-Mer	17268	{"cp":"83110"}
Marmande	17239	{"cp":"47200"}
Les Clayes-sous-Bois	17237	{"cp":"78340"}
L'Isle-d'Abeau	17206	{"cp":"38080"}
Digne-les-Bains	17192	{"cp":"04000"}
Jouy-le-Moutier	17175	{"cp":"95280"}
Cluses	17164	{"cp":"74300"}
Firminy	17137	{"cp":"42700"}
Vire Normandie	17135	{"cp":"14500"}
Sallanches	17133	{"cp":"74700"}
Lons-le-Saunier	17043	{"cp":"39000"}
Saint-Cyr-sur-Loire	17004	{"cp":"37540"}
Saint-Égrève	16995	{"cp":"38120"}
Viroflay	16960	{"cp":"78220"}
Annonay	16873	{"cp":"07100"}
Le Pré-Saint-Gervais	16865	{"cp":"93310"}
Lamballe-Armor	16845	{"cp":"22400"}
Montceau-les-Mines	16831	{"cp":"71300"}
Ambarès-et-Lagrave	16798	{"cp":"33440"}
Cestas	16789	{"cp":"33610"}
Villeneuve-Loubet	16779	{"cp":"06270"}
Château-Gontier-sur-Mayenne	16710	{"cp":"53200"}
Orée d'Anjou	16709	{"cp":"49270"}
Verdun	16689	{"cp":"55100"}
Saran	16679	{"cp":"45770"}
Châteaurenard	16669	{"cp":"13160"}
Sedan	16608	{"cp":"08200"}
Mauguio	16596	{"cp":"34130"}
Saint-Jean-de-la-Ruelle	16594	{"cp":"45140"}
Marly-le-Roi	16531	{"cp":"78160"}
La Baule-Escoublac	16468	{"cp":"44500"}
Les Herbiers	16453	{"cp":"85500"}
Loire-Authion	16416	{"cp":"49250"}
Pamiers	16394	{"cp":"09100"}
Valserhône	16295	{"cp":"01200"}
Landerneau	16206	{"cp":"29800"}
Guérande	16151	{"cp":"44350"}
Port-de-Bouc	16136	{"cp":"13110"}
Saint-Joseph	16135	{"cp":"97212"}
Domont	16078	{"cp":"95330"}
Montbrison	16064	{"cp":"42600"}
Vauréal	16034	{"cp":"95490"}
